Row_Number,Candidate_ID,Title,Final_Decision,URL,Match_Status,Match_Method,Matched_Source_Path,Copied_Output_Path
18,CAND_B5FEE4A717,"Second Global Automotive Supplier for Hyundai Metaplant To Create 1,500 Jobs | Georgia.org",review,https://www.georgia.org/press-release/second-global-automotive-supplier-hyundai-metaplant-create-1500-jobs,unmatched,,,
19,CAND_A817B83385,Hyundai Motor Group and SK On To Build EV Battery Facility in Bartow County | Georgia.org,review,https://georgia.org/press-release/hyundai-motor-group-and-sk-build-ev-battery-facility-bartow-county,unmatched,,,
20,CAND_FD06DE8E5E,"Second Global Automotive Supplier for Hyundai Metaplant To Create 1,500 Jobs | Georgia.org",review,https://georgia.org/press-release/second-global-automotive-supplier-hyundai-metaplant-create-1500-jobs,unmatched,,,
21,CAND_155E6FE149,[PDF] GEORGIA:,review,https://case-usa.eu/wp-content/uploads/2021/12/Georgia-Battery-Ecosystem.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia-Battery-Ecosystem.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia-Battery-Ecosystem.pdf
22,CAND_9D79F5B8FD,EX-99.1,review,https://www.sec.gov/Archives/edgar/data/1859795/000095017024083667/nvx-ex99_1.htm,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/nvx-ex99_1_3.htm,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/nvx-ex99_1_3.htm
23,CAND_A3C4AAE424,The South is building the most vibrant EV and battery hub in the US,review,https://www.canarymedia.com/articles/clean-energy-manufacturing/the-south-is-building-the-most-vibrant-ev-and-battery-hub-in-the-us,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/the-south-is-building-the-most-vibrant-ev-and-battery-hub-in-the-us.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/the-south-is-building-the-most-vibrant-ev-and-battery-hub-in-the-us.html
24,CAND_EE78000BC6,GTRI Works to Enhance EV Battery Reuse and Recycling in Georgia,review,https://www.gatech.edu/news/2023/06/07/gtri-works-enhance-ev-battery-reuse-and-recycling-georgia,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/gtri-works-enhance-ev-battery-reuse-and-recycling-georgia.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/gtri-works-enhance-ev-battery-reuse-and-recycling-georgia.html
25,CAND_964052A400,Longtime Kia and HMG Supplier to Build Manufacturing Facility in Bulloch County | Georgia.org,review,https://www.georgia.org/press-release/longtime-kia-and-hmg-supplier-build-manufacturing-facility-bulloch-county,matched,title_prefix,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Longtime_Kia_and_HMG_Supplier_to_Build_Manufacturing_Facility_in_Bulloch_County_–_Savannah_Harbor-Interstate_16_Corridor_Joint_Development_Authority.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Longtime_Kia_and_HMG_Supplier_to_Build_Manufacturing_Facility_in_Bulloch_County_–_Savannah_Harbor-Interstate_16_Corridor_Joint_Development_Authority.html
26,CAND_9633689EE2,Longtime Kia and HMG Supplier to Build Manufacturing Facility in Bulloch County | Georgia.org,review,https://georgia.org/press-release/longtime-kia-and-hmg-supplier-build-manufacturing-facility-bulloch-county,matched,title_prefix,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Longtime_Kia_and_HMG_Supplier_to_Build_Manufacturing_Facility_in_Bulloch_County_–_Savannah_Harbor-Interstate_16_Corridor_Joint_Development_Authority.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Longtime_Kia_and_HMG_Supplier_to_Build_Manufacturing_Facility_in_Bulloch_County_–_Savannah_Harbor-Interstate_16_Corridor_Joint_Development_Authority.html
27,CAND_564677852C,[PDF] Driving Growth in South Carolina's Battery and EV Supply Chains,review,https://www.c2es.org/wp-content/uploads/2025/04/driving-growth-south-carolinas-battery-and-ev-supply-chain.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/driving-growth-south-carolinas-battery-and-ev-supply-chain.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/driving-growth-south-carolinas-battery-and-ev-supply-chain.pdf
28,CAND_C37E93A7F9,First Hyundai Motor Group Supplier to Build Facility in Bulloch County | Georgia.org,review,https://www.georgia.org/press-release/first-hyundai-motor-group-supplier-build-facility-bulloch-county,unmatched,,,
29,CAND_C25361B88E,First Hyundai Motor Group Supplier to Build Facility in Bulloch County | Georgia.org,review,https://georgia.org/press-release/first-hyundai-motor-group-supplier-build-facility-bulloch-county,unmatched,,,
30,CAND_A9B1B4FC75,[PDF] The Clean Energy Roadshow is produced by Event Energy Partners ...,review,https://cleanenergyroadshow.com/wp-content/uploads/2025/08/2025Roadshow-EV-Propane-CNG-H2.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/2025Roadshow-EV-Propane-CNG-H2.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/2025Roadshow-EV-Propane-CNG-H2.pdf
31,CAND_1D9DD9F07D,GEORGIA,review,https://climatepower.us/wp-content/uploads/2024/03/State-of-the-Clean-Energy-Boom_Georgia.pdf,unmatched,,,
32,CAND_7EFF8F6639,Hyundai Motor Group Will Build Big EV Plant And Battery Facility In Georgia,review,https://insideevs.com/news/587322/hyundai-build-ev-plant-battery-georgia/,matched,title_exact,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Hyundai_Motor_Group_Will_Build_Big_EV_Plant_And_Battery_Facility_In_Georgia.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Hyundai_Motor_Group_Will_Build_Big_EV_Plant_And_Battery_Facility_In_Georgia.html
33,CAND_82CF04C498,"Logistics | Development Authority of Washington County, Georgia",review,https://washingtondev.com/top-industries/logistics,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/logistics.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/logistics.html
34,CAND_C523AD2FF8,[PDF] COLLABORATION - Georgia Department of Economic Development,review,https://georgia.org/sites/default/files/2023-03/fy23q2_board_book_-_23admin311.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/fy23q2_board_book_-_23admin311.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/fy23q2_board_book_-_23admin311.pdf
35,CAND_A565C282AC,[PDF] Automotive Manufacturing - Amazon AWS,review,https://selectgeorgia-production-assets.s3.amazonaws.com/media/documents/Automotive_Industry_2024.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Automotive_Industry_2024.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Automotive_Industry_2024.pdf
36,CAND_0DB81382A0,Georgia: 3PL Logistics Sweet Spot,review,https://www.warehousebasics.com/insights/third-party-logistics/georgia-3pl-logistics-sweet-spot,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/georgia-3pl-logistics-sweet-spot.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/georgia-3pl-logistics-sweet-spot.html
37,CAND_0EB22CBFBB,Georgia’s Battery-Powered Future - Georgia Trend Magazine,review,https://www.georgiatrend.com/2024/04/30/georgias-battery-powered-future/,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia’s_Battery-Powered_Future_-_Georgia_Trend_Magazine.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia’s_Battery-Powered_Future_-_Georgia_Trend_Magazine.html
38,CAND_63E6DC798C,"Hyundai, SK On plan $5B Georgia EV battery plant | Utility Dive",review,https://www.utilitydive.com/news/Hyundai-SK-On-plan-5B-Georgia-EV-battery-joint-venture/648667/?ref=cleantech-vanguard.com,unmatched,,,
39,CAND_174687C7CD,file: ea022002201ex99-1_freyr.htm,review,https://www.sec.gov/Archives/edgar/data/1992243/000121390024094750/ea022002201ex99-1_freyr.htm,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/ea022002201ex99-1_freyr.htm,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/ea022002201ex99-1_freyr.htm
40,CAND_5016FCF415,Global Temperature-controlled Storage Leader Lineage Logistics to Build New Savannah Facility | Georgia.org,review,https://georgia.org/press-release/global-temperature-controlled-storage-leader-lineage-logistics-build-new-savannah,unmatched,,,
41,CAND_B843606025,Anovion to build battery material plant in Georgia - electrive.com,review,https://www.electrive.com/2023/05/16/anovion-to-build-battery-material-plant-in-georgia,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Anovion_to_build_battery_material_plant_in_Georgia_-_electrive.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Anovion_to_build_battery_material_plant_in_Georgia_-_electrive.html
42,CAND_9B9BC477C6,How the Georgia-Korea Connection Energizes Opportunities | Georgia.org,review,https://www.georgia.org/blog/how-georgia-korea-connection-energizes-opportunities,unmatched,,,
43,CAND_6E02A101C7,Georgia Ports Secures $120 Million in Federal Grants for Rail...,review,https://www.globaltrademag.com/georgia-ports-secures-120-million-in-federal-grants-for-rail-and-electrification-projects,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia_Ports_Secures_$120_Million_in_Federal_Grants_for_Rail...html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia_Ports_Secures_$120_Million_in_Federal_Grants_for_Rail...html
44,CAND_820ED468A5,Hyundai & LG Plan $4.3 Billion Battery Plant in Savannah - Metro Atlanta CEO,review,https://metroatlantaceo.com/features/2023/05/hyundai-and-lg-plan-43-billion-battery-plant-savannah/,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Hyundai_&_LG_Plan_$4.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Hyundai_&_LG_Plan_$4.html
45,CAND_F26EB177CA,"The Rise of the ""Battery Belt"" in the Southeast United States: Georgia's Electric Vehicle Boom - Environment+Energy Leader",review,"https://www.environmentenergyleader.com/stories/the-rise-of-the-battery-belt-in-the-southeast-united-states-georgias-electric-vehicle-boom,48331",matched,basename:Acquired_File_Path,"/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/the-rise-of-the-battery-belt-in-the-southeast-united-states-georgias-electric-vehicle-boom,48331.html","/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/the-rise-of-the-battery-belt-in-the-southeast-united-states-georgias-electric-vehicle-boom,48331.html"
46,CAND_3E730C40B3,The Rise of America's Battery Belt – Asia Matters for America,review,https://asiamattersforamerica.org/articles/the-rise-of-americas-battery-belt,unmatched,,,
47,CAND_F3DC3C7261,[PDF] 2050 Metropolitan Transportation Plan Volume 1,review,https://cdn.atlantaregional.org/wp-content/uploads/volume-i-chapter-5-programming-strategies-and-policies.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/volume-i-chapter-5-programming-strategies-and-policies.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/volume-i-chapter-5-programming-strategies-and-policies.pdf
48,CAND_072450F476,Hydrometallurgical recycling technologies for NMC Li-ion battery cathodes: current industrial practice and new R&D trends - RSC Sustainability (RSC Publishing) DOI:10.1039/D3SU00142C,review,https://pubs.rsc.org/en/content/articlehtml/2023/su/d3su00142c,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/d3su00142c.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/d3su00142c.html
49,CAND_84725DAAD6,Top tier supplier signs on for Kia facility in West Point | Georgia.org,review,https://georgia.org/newsroom/press-releases/top-tier-supplier-signs-on-for-kia-facility-in-west-point,unmatched,,,
50,CAND_CBDE691168,[PDF] fyiGA's Energy Cities At Work - Location Georgia,review,https://www.locationgeorgia.com/wp-content/uploads/2025/03/2024-fyi-GA-Energy-Cities-at-Work.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/2024-fyi-GA-Energy-Cities-at-Work.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/2024-fyi-GA-Energy-Cities-at-Work.pdf
51,CAND_7AF43E183A,Georgia’s Extensive Logistics Network Speeds Goods to Market | Georgia.org,review,https://georgia.org/blog/georgias-extensive-logistics-network-speeds-goods-market,unmatched,,,
52,CAND_EFD94C41C5,LG Energy Solution and Hyundai Motor Group to Establish Battery Cell Manufacturing Joint Venture in the U.S. – LG Energy Solution,review,https://news.lgensol.com/company-news/press-releases/1780/,unmatched,,,
53,CAND_8DC0A89373,Congressional Record,review,https://www.congress.gov/119/crec/2025/04/28/171/70/CREC-2025-04-28.pdf,unmatched,,,
54,CAND_85D8AF04E6,[PDF] Issue Brief: Federal Support for EV Jobs in Georgia,review,https://atlaspolicy.com/wp-content/uploads/2024/05/Issue-Brief-EV-Jobs-in-Georgia.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Issue-Brief-EV-Jobs-in-Georgia.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Issue-Brief-EV-Jobs-in-Georgia.pdf
55,CAND_6F2E677B9E,Hyundai Will Build First Fully-Dedicated EV Plant In Georgia - Automotive - Business Facilities Magazine,review,https://businessfacilities.com/2022/05/hyundai-will-build-first-fully-dedicated-ev-plant-in-georgia,unmatched,,,
56,CAND_06A1FEBC0B,Hyundai to build $5.5 billion EV and battery plant in Georgia - The Atlanta Voice,review,https://theatlantavoice.com/hyundai-to-build-5-5-billion-ev-and-battery-plant-in-georgia,unmatched,,,
57,CAND_D3601EF059,Hyundai Motor Group | Georgia.org,review,https://georgia.org/hyundaimotorgroup,unmatched,,,
