question,reference_answer,reference_source,answer,latency_seconds,success,error_message,answer_accuracy,faithfulness,response_groundedness,context_precision,context_recall,grounded_claim_ratio,unsupported_claim_ratio,contradicted_claim_ratio,overall_metric_score_pct
Identify the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia.,"Sewon America Inc. offers different products and services across its Georgia locations
Atlanta, Fulton County: Automotive aftermarket parts
Athens, Clarke County: Motor vehicle engines and parts
Marietta, Cobb County: Fire truck bodies",golden,"Primary Facility Type: Manufacturing Plant | Product / Service: Motor vehicle engines and parts | Location: Peachtree City, Chattooga County | Employment: 75 | EV / Battery Relevant: Indirect

Primary Facility Type: Manufacturing Plant | Product / Service: Fire truck bodies | Location: West Point, Troup County | Employment: 75 | EV / Battery Relevant: No",1.95,True,,,1.0,,0.0,0.25,1.0,0.0,0.0,59.61538461538461
List all Tier 2/3 companies in Georgia with primary involvement in the electric vehicle or battery supply chain and specify their respective roles.,"There are 3 companies with primary involvement in the electric vehicle or battery supply chain.

Duckyang | Role: General Automotive
GSC Steel Stamping LLC | Role: Power Electronics
Enchem America Inc. | Role: General Automotive",golden,"ACM Georgia LLC | Category: Tier 2/3 | Industry Group: Textile Products | EV Supply Chain Role: General Automotive | Primary Facility Type: Manufacturing Plant | Employment: 400 | EV / Battery Relevant: Indirect

Adient | Category: Tier 2/3 | Industry Group: Textile Products | EV Supply Chain Role: General Automotive | Primary Facility Type: Manufacturing Plant | Employment: 180 | EV / Battery Relevant: Indirect",2.84,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
"Show the full supplier network linked to Rivian Automotive in Georgia, broken down by tier and EV Supply Chain Role.","There are 5 companies linked to Rivian Automotive in Georgia.

Duckyang [Tier 2/3] | Role: General Automotive
Enchem America Inc. [Tier 2/3] | Role: General Automotive
GSC Steel Stamping LLC [Tier 2/3] | Role: Power Electronics
Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management
Racemark International LLC [Tier 1] | Role: General Automotive",golden,"Tier 1:
- Rivian Automotive | EV Supply Chain Role: General Automotive

Tier 2/3:
- Duckyang | EV Supply Chain Role: General Automotive
- Enchem America Inc. | EV Supply Chain Role: General Automotive

Vehicle Assembly (OEM):
- Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly

Thermal Management:
- Hyundai Transys Georgia Powertrain | EV Supply Chain Role: Thermal Management",2.4,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
"Which Georgia companies produce battery materials such as anodes, cathodes, electrolytes, or copper foil, and what tier are they classified as?","There are 6 Georgia companies producing battery materials such as anodes, cathodes, electrolytes, or copper foil.

Down 2 Earth Trailers [Tier 2/3]
Duckyang [Tier 2/3]
Enplas USA Inc. [Tie 2/3]
F&P Georgia Manufacturing [Tier 1/2]
Hollingsworth & Vose Co. [Tier 1/2]
IMMI [Tier 1/2]",golden,"No Georgia companies produce battery materials such as anodes, cathodes, electrolytes, or copper foil according to the provided evidence. All listed companies have an EV Supply Chain Role of Materials and their products do not include battery-specific components.",1.71,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
Identify all Georgia companies with an EV Supply Chain Role related to wiring harnesses and show their Primary OEMs.,"There are 2 Georgia companies with an EV Supply Chain Role related to wiring harnesses.

WIKA USA | Primary OEMs: not listed
Woodbridge Foam Corp. | Primary OEMs: not listed",golden,"WIKA USA | HV and LV wiring harnesses for EVs and ICE vehicles | Primary OEMs: Yes  
Woodbridge Foam Corp. | EV wiring harnesses and power distribution | Primary OEMs: Yes",1.38,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
Find Georgia-based Tier 1 or Tier 1/2 suppliers capable of producing battery electrolytes or lithium-ion battery materials with existing OEM contracts.,"There are 6 Georgia Tier 1 or 1/2 suppliers capable of producing battery electrolytes or lithium-ion battery materials.

F&P Georgia Manufacturing [Tier 1/2] | OEMs: Hyundai Kia
Hitachi Astemo Americas Inc. [Tier 1/2] | OEMs: Hyundai Kia
Hollingsworth & Vose Co. [Tier 1/2] | OEMs: Hyundai Kia
Honda Development & Manufacturing [Tier 1/2] | OEMs: Hyundai Kia
Hyundai Motor Group [Tier 1/2] | OEMs: Hyundai Kia
IMMI [Tier 1/2] | OEMs: Hyundai Kia",golden,No Georgia-based Tier 1 or Tier 1/2 suppliers capable of producing battery electrolytes or lithium-ion battery materials with existing OEM contracts were found in the provided evidence.,1.3,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
Which Georgia companies manufacture high-voltage wiring harnesses or EV electrical distribution components suitable for BEV platforms?,"There are 2 Georgia companies manufacturing high-voltage wiring harnesses or EV electrical distribution components suitable for BEV platforms

WIKA USA
Woodbridge Foam Corp.",golden,"Yachiyo Manufacturing of America LLC | Category: OEM Supply Chain | Industry Group: Automotive seating and E‑systems | EV Supply Chain Role: EV electrical distribution and interior systems | Product / Service: Automotive seating and E-Systems (electrical distribution) | Location: Marietta, Cobb County | Primary Facility Type: Manufacturing | Employment: 173700

WIKA USA | Category: OEM Supply Chain | EV Supply Chain Role: HV and LV wiring harnesses for EVs and ICE vehicles | Updated Location: Georgia | Employment: 250000

Woodbridge Foam Corp. | Category: OEM Supply Chain | EV Supply Chain Role: EV wiring harnesses and power distribution | Updated Location: Georgia | Employment: 1657",3.34,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
Identify Georgia Tier 2/3 companies in the Electronic and Electrical Equipment industry group that could be upgraded to supply EV power electronics.,No Georgia Tier 2/3 companies are classified under the Electronic and Other Electrical Equipment industry group.,golden,"Hyundai Transys Georgia Seating Systems | Tier 2/3 | Electronic and Other Electrical Equipment and Components | Power Electronics | Manufacturing Plant | 0 | Gainesville, Hall County | Automotive supply chain participant

Hyundai Transys Georgia Powertrain | Tier 2/3 | Electronic and Other Electrical Equipment and Components | Power Electronics | Manufacturing Plant | 0 | Gainesville, Hall County | Automotive supply chain participant",2.03,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
Find Georgia-based companies that manufacture copper foil or electrodeposited materials suitable for EV battery current collectors.,"There is 1 company in Georgia specifically identified for the manufacture of materials suitable for EV battery current collectors:
Duckyang",golden,No Georgia-based companies manufacturing copper foil or electrodeposited materials suitable for EV battery current collectors were found in the provided evidence.,1.32,True,,,1.0,,0.0,0.0,1.0,0.0,0.0,53.846153846153854
"Which Georgia Tier 1/2 companies produce engineered plastics, polymers, or composite materials applicable to EV structural or thermal components?","No Georgia Tier 1/2 companies are explicitly identified as producing engineered plastics, polymers, or composite materials applicable to EV structural or thermal components.",golden,"Company: Panasonic Automotive Systems Co. | Category: Tier 1 | Industry Group: Transportation Equipment | EV Supply Chain Role: Materials | Primary Facility Type: Manufacturing Plant | Employment: 175 | Location: Morrow, Clayton County

Company: PHA Body Systems LLC | Category: Tier 1 | Industry Group: Transportation Equipment | EV Supply Chain Role: Materials | Primary Facility Type: Manufacturing Plant | Employment: 145 | Location: Flowery Branch, Hall County

Company: SK Battery America | Category: Tier 1 | Industry Group: Transportation Equipment | EV Supply Chain Role: Materials | Primary Facility Type: Manufacturing Plant | Employment: 75 | Location: Lagrange, Troup County",3.21,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
Find Georgia suppliers with existing Hyundai Kia contracts that could be expanded to support Hyundai Metaplant's EV battery production ramp-up.,"There are 12 companies with existing Hyundai Kia contracts that could be expanded to support Hyundai Metaplant's EV battery production ramp-up.

F&P Georgia Manufacturing
Duckyang
GSC Steel Stamping LLC
Hitachi Astemo Americas Inc.
Hollingsworth & Vose Co.
Honda Development & Manufacturing
Hyundai Motor Group
Hyundai Transys Georgia Powertrain
IMMI
Enchem America Inc.
Racemark International LLC
Superior Essex Inc.",golden,"Battery Cell:
- Hitachi Astemo Americas Inc., Shorter, Manufacturing Plant, 723 employees
- Honda Development & Manufacturing, Tallapoosa, Cherokee County, Manufacturing Plant, 400 employees

Battery Pack:
- F&P Georgia Manufacturing, Rome, Floyd County, Manufacturing Plant, 104 employees
- Hollingsworth & Vose Co., Hawkinsville, Pulaski County, Manufacturing Plant, 400 employees
- Hyundai Motor Group, Ellabell, Bryan County, Manufacturing Plant, 164 employees
- IMMI, Dublin, Laurens County, Manufacturing Plant, 100 employees",3.15,True,,,0.0,,1.0,0.4615,0.0,1.0,0.0,41.419230769230765
"Identify Georgia companies producing DC-to-DC converters, capacitors, or power electronics components relevant to EV drivetrains and what tier is each assigned?","There are 3 Georgia companies producing DC-to-DC converters, capacitors, or power electronics components relevant to EV drivetrains.

GSC Steel Stamping LLC [Tier 2/3]
Hyundai MOBIS (Georgia) [Tier 1/2]
Hyundai Transys Georgia Seating Systems [Tier 1/2]",golden,"**DC-to-DC Converters and Power Electronics Components Relevant to EV Drivetrains**

1. **GSC Steel Stamping LLC**
   - Tier: Tier 2/3
   - Product / Service: DC-to-DC converters
   - Employment: 350

2. **ZF Gainesville LLC**
   - Tier: OEM Supply Chain
   - EV Supply Chain Role: Power electronics
   - Employment: 17500",2.4,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
"Which Georgia companies provide powder coating-related products or services, and what tier are they classified under?","There is only 1 company that provides powder coating-related products or services
Archer Aviation Inc. | Category: Tier 2/3",golden,TCI Powder Coatings | Category: OEM | Updated Location: Troup County | Employment: 3000,0.99,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
"Which Georgia companies manufacture battery parts or enclosure systems and are classified as Tier 1/2, making them ready for direct OEM engagement and show which Primary OEMs they are linked to.","There are 6 Georgia companies manufacturing battery parts or enclosure systems and are classified as Tier 1/2, making them ready for direct OEM engagement.

F&P Georgia Manufacturing | OEMs: Hyundai Kia
Hitachi Astemo Americas Inc. | OEMs: Hyundai Kia
Hollingsworth & Vose Co. | OEMs: Hyundai Kia
Honda Development & Manufacturing | OEMs: Hyundai Kia
Hyundai Motor Group | OEMs: Hyundai Kia
IMMI | OEMs: Hyundai Kia",golden,"Hyundai Motor Group | Category: Tier 1/2 | Industry Group: Electronic and Other Electrical Equipment and Components | EV Supply Chain Role: Battery Pack | Primary OEMs: Hyundai Kia | Product / Service: Battery parts for electric vehicles | Location: Ellabell, Bryan County | Primary Facility Type: Manufacturing Plant | Employment: 164 | EV / Battery Relevant: Yes | Supplier or Affiliation Type: Automotive supply chain participant | Classification Method: Supplier",2.57,True,,,0.0,,0.3333,0.0,0.0,1.0,0.0,15.383846153846154
Find Tier 2/3 Georgia-based suppliers with employment over 300 that are classified as General Automotive but produce components transferable to EV platforms.,"There are 8 Tier 2/3 Georgia-based suppliers with employment over 300 that are classified as General Automotive but produce components transferable to EV platforms.

Arising Industries Inc. | Employment: 582
Dinex Emissions Inc. | Employment: 500
ACM Georgia LLC | Employment: 400
Dongwon Autopart Technology Georgia LLC | Employment: 315
FOX Factory | Employment: 345
AVS | Employment: 310
Flambeau Inc. | Employment: 700
Grudem | Employment: 807",golden,"Company: Arising Industries Inc. | Employment: 582 | Location: Covington, Henry County | Primary Facility Type: Manufacturing Plant | EV / Battery Relevant: Indirect | Supplier or Affiliation Type: Automotive supply chain participant

Company: Flambeau Inc. | Employment: 700 | Location: Adairsville, Bartow County | Primary Facility Type: Manufacturing Plant | EV / Battery Relevant: No | Supplier or Affiliation Type: Automotive supply chain participant

Company: Fouts Brothers Fire Equipment | Employment: 630 | Location: Rome, Floyd County | Primary Facility Type: Manufacturing Plant | EV / Battery Relevant: Indirect | Supplier or Affiliation Type: Automotive supply chain participant

Company: Grudem | Employment: 807 | Location: Adairsville, Bartow County | Primary Facility Type: Manufacturing Plant | EV / Battery Relevant: No | Supplier or Affiliation Type: Automotive supply chain participant",5.04,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
Identify Georgia Tier 2/3 companies in the Chemicals and Allied Products industry group and list their products.,"There are 2 Georgia Tier 2/3 companies in Chemicals and Allied Products industry group.

Archer Aviation Inc. | Product: Powder coatings for automotive and other industries
Arising Industries Inc. | Product: Rubber powders for tires",golden,Archer Aviation Inc. | Category: Tier 2/3 | Industry Group: Chemicals and Allied Products | EV Supply Chain Role: General Automotive | Primary Facility Type: Manufacturing Plant | Employment: n/a,1.92,True,,,0.0,,1.0,0.3333,0.0,1.0,0.0,38.46076923076923
"Which EV Supply Chain Roles in Georgia are served by only a single company, creating a single-point-of-failure risk for the state's EV ecosystem?","There are 28 Supply Chain Roles in Georgia served by only a single company, creating a single-point-of-failure risk for the state's EV ecosystem

Role: Advanced electrical architecture for EVs | Only company: Yamaha Motor Manufacturing Corp.
Role: Body and chassis components for EV and ICE OEMs | Only company: Vanguard National Trailer Corp.
Role: Charging Infrastructure | Only company: Morgan Corp.
Role: EV and ICE component manufacturing | Only company: Vista Metals Corp.
Role: EV and ICE powertrain and HVAC components | Only company: Voestalpine Automotive Body Parts Inc.
Role: EV body, powertrain, and thermal components | Only company: ZF Gainesville LLC
Role: EV electrical distribution and interior systems | Only company: Yachiyo Manufacturing of America LLC
Role: EV sensors, braking, and control systems | Only company: YKK USA Inc.
Role: EV thermal management and power electronics | Only company: ZF Gainesville LLC
Role: EV thermal systems and electronics | Only company: ZF Gainesville LLC
Role: EV wiring harnesses and power distribution | Only company: Woodbridge Foam Corp.
Role: HV and LV wiring harnesses for EVs and ICE vehicles | Only company: WIKA USA
Role: High‑voltage EV connectors and electronics | Only company: Woory Industrial Co.
Role: Interior and exterior plastic parts | Only company: Wabash National Corp.
Role: Interior trim and textile components | Only company: Wheelabrator Group Inc.
Role: Machined components supporting EV and ICE vehicles | Only company: Trenton Pressing Inc.
Role: OEM corporate and engineering footprint (electrification) | Only company: Tie Down Engineering
Role: OEM corporate footprint and supplier integration | Only company: Trenton Pressing
Role: OEM corporate footprint influencing EV strategy | Only company: TI Fluid Systems
Role: OEM parent group footprint (EV + HD electrification) | Only company: TN Americas Holding Inc.
Role: OEM parent group footprint (electric truck strategy) | Only company: Toyota Industries Group (TACG-TICA)
Role: Plastic components for EV and ICE vehicles | Only company: Volvo Cars USA
Role: Power Electronics | Only company: GSC Steel Stamping LLC
Role: Power electronics, sensors, and EV systems | Only company: Yazaki North America
Role: Stamped and welded assemblies for OEMs | Only company: Vernay
Role: Stamped metal components for OEMs | Only company: Volvo Group North America
Role: Tier 1 automotive components | Only company: Valeo
Role: Vehicle safety systems OEM (EV + ICE) → Only company: TI Fluid Systems",golden,"EV Supply Chain Role: Materials
Company: Blue Bird Corp.

EV Supply Chain Role: Materials
Company: Bosch (Automotive Division)",1.0,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
"Which Georgia Battery Cell or Battery Pack suppliers are sole-sourced by a specific OEM, indicating high dependency risk?","There are 6 Georgia Battery Cell or Battery Pack suppliers that are sole-sourced by a specific OEM, indicating high dependency risk.
• F&P Georgia Manufacturing | Role: Battery Pack | Primary OEM: Hyundai Kia
• Hitachi Astemo Americas Inc. | Role: Battery Cell | Primary OEM: Hyundai Kia
• Hollingsworth & Vose Co. | Role: Battery Pack | Primary OEM: Hyundai Kia
• Honda Development & Manufacturing | Role: Battery Cell | Primary OEM: Hyundai Kia
• Hyundai Motor Group | Role: Battery Pack | Primary OEM: Hyundai Kia
• IMMI | Role: Battery Pack | Primary OEM: Hyundai Kia",golden,"Battery Cell Suppliers:
- Hitachi Astemo Americas Inc. | Location: Shorter | Employment: 723 | EV Supply Chain Role: Battery Cell

Battery Pack Suppliers:
- F&P Georgia Manufacturing | Location: Rome, Floyd County | Employment: 104 | EV Supply Chain Role: Battery Pack
- Hollingsworth & Vose Co. | Location: Hawkinsville, Pulaski County | Employment: 400 | EV Supply Chain Role: Battery Pack
- Hyundai Motor Group | Location: Ellabell, Bryan County | Employment: 164 | EV Supply Chain Role: Battery Pack
- IMMI | Location: Dublin, Laurens County | Employment: 100 | EV Supply Chain Role: Battery Pack",3.58,True,,,0.0,,1.0,0.0,0.0,1.0,0.0,30.76923076923077
"For Hyundai Metaplant, how many of its Georgia-based EV component suppliers have fewer than 200 employees, flagging potential capacity fragility?","For Hyundai Metaplant, there are 6 Georgia-based EV component suppliers with less than 200 employees, flagging potential capacity fragility.
Enchem America Inc. | Employment: 155
F&P Georgia Manufacturing | Employment: 104
Hyundai Motor Group | Employment: 164
Hyundai Transys Georgia Powertrain | Employment: 130
IMMI | Employment: 100
Racemark International LLC | Employment: 120",golden,"The provided evidence does not contain information about the number of employees for Hyundai Metaplant's Georgia-based EV component suppliers or their capacity fragility. The evidence lists companies and their locations but lacks employee count data necessary to determine potential capacity fragility based on workforce size. Therefore, it is incomplete for answering this specific question.",1.66,True,,,1.0,,0.0,0.0,1.0,0.0,0.0,53.846153846153854
